-1.697,-0.134,4.841,-2.108,0.573,1.715
-2.109,-0.204,4.860,-1.886,0.690,1.705
-2.557,-0.242,5.104,-1.617,0.829,1.669
-2.789,-0.242,5.440,-1.447,0.912,1.633
-2.899,-0.204,5.839,-1.309,0.970,1.595
-2.873,-0.127,6.342,-1.180,1.017,1.551
-2.792,0.005,6.723,-1.124,1.027,1.528
-2.670,0.184,7.056,-1.097,1.015,1.519
-2.480,0.491,7.338,-1.105,0.972,1.529
-2.406,0.718,7.424,-1.137,0.928,1.552
-2.428,0.931,7.429,-1.186,0.879,1.584
-2.567,1.142,7.350,-1.276,0.799,1.637
-2.832,1.286,7.283,-1.354,0.723,1.681
-3.182,1.415,7.197,-1.439,0.632,1.726
-3.589,1.578,7.056,-1.527,0.526,1.771
-4.187,1.891,6.735,-1.647,0.381,1.826
-4.690,2.102,6.376,-1.735,0.279,1.861
-5.229,2.231,5.950,-1.821,0.195,1.884
-6.050,2.219,5.315,-1.935,0.114,1.893
-6.747,2.049,4.846,-2.018,0.073,1.880
-7.470,1.793,4.408,-2.102,0.035,1.847
-8.404,1.458,3.924,-2.215,-0.030,1.781
-9.033,1.276,3.577,-2.300,-0.101,1.714
-9.577,1.154,3.175,-2.382,-0.193,1.640
-10.125,0.962,2.540,-2.486,-0.332,1.532
-10.436,0.800,2.021,-2.552,-0.436,1.448
-10.980,0.165,-0.589,-2.680,-0.798,1.049
-10.951,0.096,-1.085,-2.668,-0.840,0.979
-10.886,0.048,-1.590,-2.643,-0.874,0.921
-10.781,-0.019,-2.270,-2.591,-0.900,0.865
-10.704,-0.060,-2.761,-2.538,-0.904,0.837
-10.669,-0.077,-3.230,-2.475,-0.896,0.823
-10.669,-0.079,-3.821,-2.378,-0.868,0.821
-10.738,-0.105,-4.185,-2.293,-0.841,0.830
-10.862,-0.134,-4.554,-2.202,-0.811,0.846
-11.100,-0.206,-5.001,-2.073,-0.764,0.877
-11.349,-0.247,-5.274,-1.972,-0.728,0.905
-11.662,-0.311,-5.499,-1.868,-0.698,0.936
